# Magnetic Anomaly Timescales compiled by EarthByte July 2011
# Timescales are:
# [1] Gee, J.S. and D.V. Kent, 2007, Source of oceanic magnetic anomalies
#	and the geomagnetic polarity timescale, in Treatise on Geophysics,
#	v. 5, Geomagnetism, M. Kono, (ed.), Elsevier, Amsterdam, 455-507.
# [2] Cande, S. C., and D. V. Kent (1995), Revised calibration of the
#	geomagnetic polarity timescale for the Late Cretaceous and Cenozoic,
#	J. Geophys. Res., 100(B4), 6093-6095.
# [3] Gradstein, F. M., J. G. Ogg, and A. G. Smith (2005), A geologic time
#	scale 2004, 610 pp., Cambridge Univ. Press.
#
# 1st column:   Name of a normal chron
# 2-3 columns:  Young and old end in My of normal chron for Gee & Kent (2007)
# 4-5 columns:  Young and old end in My of normal chron for Cande & Kent (1995)
# 6-7 columns:  Young and old end in My of normal chron for Gradstein et al, (2005)
# 8th column:   Name of a reverse chron
# 9-10 columns: Young and old end in My of reverse chron for Gee & Kent (2007)
# 11-12 columns: Young and old end in My of reverse chron for Cande & Kent (1995)
# 13-14 columns: Young and old end in My of reverse chron for Gradstein et al, (2005)
#-------------------------------------------------------------------------------------------------------------------
#Nchron	y	o	y	o	y	o	Rchron	y	o	y	o	y	o
CM12n 	132.55	132.76	N/A	N/A	137.6	137.82	CM12r.1r 	132.76	133.51	N/A	N/A	137.82	138.56
CM12r.1n 	133.51	133.58	N/A	N/A	138.56	138.63	CM12r.2r 	133.58	133.73	N/A	N/A	138.63	138.78
CM12An 	133.73	133.99	N/A	N/A	138.78	139.03	CM12Ar 	133.99	134.08	N/A	N/A	139.03	139.12
CM13n 	134.08	134.27	N/A	N/A	139.12	139.29	CM13r 	134.27	134.53	N/A	N/A	139.29	139.53
CM14n 	134.53	134.81	N/A	N/A	139.53	139.77	CM14r 	134.81	135.57	N/A	N/A	139.77	140.36
CM15n 	135.57	135.96	N/A	N/A	140.36	140.66	CM15r 	135.96	136.49	N/A	N/A	140.66	141.05
CM16n 	136.49	137.85	N/A	N/A	141.05	142.06	CM16r 	137.85	138.5	N/A	N/A	142.06	142.55
CM17n 	138.5	138.89	N/A	N/A	142.55	142.84	CM17r 	138.89	140.51	N/A	N/A	142.84	144.04
CM18n 	140.51	141.22	N/A	N/A	144.04	144.57	CM18r 	141.22	141.63	N/A	N/A	144.57	144.88
CM19n.1n 	141.63	141.78	N/A	N/A	144.88	144.99	CM19n.1r 	141.78	141.88	N/A	N/A	144.99	145.06
CM19n 	141.88	143.07	N/A	N/A	145.06	145.95	CM19r 	143.07	143.36	N/A	N/A	145.95	146.16
CM20n.1n 	143.36	143.77	N/A	N/A	146.16	146.47	CM20n.1r 	143.77	143.84	N/A	N/A	146.47	146.52
CM20n.2n 	143.84	144.7	N/A	N/A	146.52	147.16	CM20r 	144.7	145.52	N/A	N/A	147.16	147.77
CM21n 	145.52	146.56	N/A	N/A	147.77	148.54	CM21r 	146.56	147.06	N/A	N/A	148.54	148.92
CM22n.1n 	147.06	148.57	N/A	N/A	148.92	150.05	CM22n.1r 	148.57	148.62	N/A	N/A	150.05	150.08
CM22n.2n 	148.62	148.67	N/A	N/A	150.08	150.12	CM22n.2r 	148.67	148.72	N/A	N/A	150.12	150.16
CM22n.3n 	148.72	148.79	N/A	N/A	150.16	150.21	CM22r 	148.79	149.49	N/A	N/A	150.21	150.73
CM22An 	149.49	149.72	N/A	N/A	150.73	150.84	CM22Ar 	149.72	150.04	N/A	N/A	150.84	151.01
CM23n.1n 	150.04	150.69	N/A	N/A	151.01	151.34	CM23n.1r 	150.69	150.91	N/A	N/A	151.34	151.62
CM23n.2n 	150.91	150.93	N/A	N/A	151.62	151.64	CM23r 	150.93	151.4	N/A	N/A	151.64	152.26
CM24n.1n 	151.4	151.72	N/A	N/A	152.26	152.5	CM24n.1r 	151.72	151.98	N/A	N/A	152.5	152.96
CM24n.2n 	151.98	152	N/A	N/A	152.96	152.98	CM24r 	152	152.15	N/A	N/A	152.98	153.18
CM24An 	152.15	152.24	N/A	N/A	153.18	153.31	CM24Ar 	152.24	152.43	N/A	N/A	153.31	153.58
CM24Bn 	152.43	153.13	N/A	N/A	153.58	153.93	CM24Br 	153.13	153.43	N/A	N/A	153.93	154.08
CM25n 	153.43	154	N/A	N/A	154.08	154.37	CM25r 	154	154.31	N/A	N/A	154.37	155.05
CM26n 	154.31	155.32	N/A	N/A	155.05	155.13	CM26r 	155.32	155.55	N/A	N/A	155.13	155.71
CM27n 	155.55	155.8	N/A	N/A	155.71	155.85	CM27r 	155.8	156.05	N/A	N/A	155.85	156.01
CM28n 	156.05	156.19	N/A	N/A	156.01	156.29	CM28r	156.19	156.51	N/A	N/A	156.29	157.26
#-------------------------------------------------------------------------------------------------------------------
#-----------------EarthByte hybrid scale, adjusting Tominaga et al [2008] to fit GeeK2007 at M29--------------------
#Nchron	y	o	y	o	y	o	Rchron	y	o	y	o	y	o
#-------------------------------------------------------------------------------------------------------------------
CM29n	156.51	157.270	N/A	N/A	157.26	157.41	CM29r	157.270	157.53	N/A	N/A	157.41	157.73
M29An	157.53	157.582	N/A	N/A	N/A	N/A	M29Ar	157.582	157.653	N/A	N/A	N/A	N/A
M30n	157.653	157.785	N/A	N/A	N/A	N/A	M30r	157.785	157.957	N/A	N/A	N/A	N/A
M30An	157.957	158.063	N/A	N/A	N/A	N/A	M30Ar	158.063	158.096	N/A	N/A	N/A	N/A
M31n.1n	158.096	158.262	N/A	N/A	N/A	N/A	M31n.1r	158.262	158.35	N/A	N/A	N/A	N/A
M31n.2n	158.35	158.379	N/A	N/A	N/A	N/A	M31n.2r	158.379	158.424	N/A	N/A	N/A	N/A
M31n	158.424	158.471	N/A	N/A	N/A	N/A	M31r	158.471	158.528	N/A	N/A	N/A	N/A
M32n.1n	158.528	158.553	N/A	N/A	N/A	N/A	M32n.1r	158.553	158.584	N/A	N/A	N/A	N/A
M32n.2n	158.584	158.689	N/A	N/A	N/A	N/A	M32n.2r	158.689	158.745	N/A	N/A	N/A	N/A
M32n	158.745	158.776	N/A	N/A	N/A	N/A	M32r	158.776	158.866	N/A	N/A	N/A	N/A
M33n	158.866	159.182	N/A	N/A	N/A	N/A	M33r	159.182	159.324	N/A	N/A	N/A	N/A
M33An	159.324	159.408	N/A	N/A	N/A	N/A	M33Ar	159.408	159.482	N/A	N/A	N/A	N/A
M33Bn	159.482	159.555	N/A	N/A	N/A	N/A	M33Br	159.555	159.676	N/A	N/A	N/A	N/A
M33Cn.1n	159.676	159.717	N/A	N/A	N/A	N/A	M33Cn.1r	159.717	159.773	N/A	N/A	N/A	N/A
M33Cn	159.773	159.903	N/A	N/A	N/A	N/A	M33Cr	159.903	160.121	N/A	N/A	N/A	N/A
M34n.1n	160.121	160.206	N/A	N/A	N/A	N/A	M34n.1r	160.206	160.282	N/A	N/A	N/A	N/A
M34n.2n	160.282	160.33	N/A	N/A	N/A	N/A	M34n.2r	160.33	160.361	N/A	N/A	N/A	N/A
M34n.3n	160.361	160.385	N/A	N/A	N/A	N/A	M34n.3r	160.385	160.444	N/A	N/A	N/A	N/A
M34An	160.444	160.479	N/A	N/A	N/A	N/A	M34Ar	160.479	160.617	N/A	N/A	N/A	N/A
M34Bn.1n	160.617	160.714	N/A	N/A	N/A	N/A	M34Bn.1r	160.714	160.78	N/A	N/A	N/A	N/A
